title,imdb,Genre,year,duration,certificate,description,Director,Stars
Soorarai Pottru,87,Action,2020,153,TV-MA,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Director: Sudha Kongara ," Stars: Suriya, Paresh Rawal, Aparna Balamurali, Urvashi"
Oppenheimer,86,Biography,2023,180,R,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Director: Christopher Nolan ," Stars: Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr."
Se7en,86,Crime,1995,127,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Director: David Fincher ," Stars: Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
The Silence of the Lambs,86,Crime,1991,118,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Director: Jonathan Demme ," Stars: Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
Saving Private Ryan,86,Drama,1998,169,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Director: Steven Spielberg ," Stars: Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
The Green Mile,86,Crime,1999,189,R,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",Director: Frank Darabont ," Stars: Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
Star Wars: Episode IV - A New Hope,86,Action,1977,121,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Director: George Lucas ," Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Spirited Away,86,Animation,2001,125,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",Director: Hayao Miyazaki ," Stars: Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
Terminator 2: Judgment Day,86,Action,1991,137,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Director: James Cameron ," Stars: Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
City of God,86,Crime,2002,130,R,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors: Fernando Meirelles, Kátia Lund "," Stars: Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen"
Life Is Beautiful,86,Comedy,1997,116,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Director: Roberto Benigni ," Stars: Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
Seven Samurai,86,Action,1954,207,Not Rated,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",Director: Akira Kurosawa ," Stars: Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
It's a Wonderful Life,86,Drama,1946,130,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Director: Frank Capra ," Stars: James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
Harakiri,86,Action,1962,133,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Director: Masaki Kobayashi ," Stars: Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba"
Sita Ramam,86,Action,2022,163,Not Rated,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Director: Hanu Raghavapudi ," Stars: Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth"
Alien,85,Horror,1979,117,R,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,Director: Ridley Scott ," Stars: Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
Gladiator,85,Action,2000,155,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Director: Ridley Scott ," Stars: Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Back to the Future,85,Adventure,1985,116,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Director: Robert Zemeckis ," Stars: Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
The Prestige,85,Drama,2006,130,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Director: Christopher Nolan ," Stars: Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
Parasite,85,Drama,2019,132,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Director: Bong Joon Ho ," Stars: Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
The Departed,85,Crime,2006,151,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Director: Martin Scorsese ," Stars: Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Django Unchained,85,Drama,2012,165,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Director: Quentin Tarantino ," Stars: Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
Psycho,85,Horror,1960,109,R,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Director: Alfred Hitchcock ," Stars: Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
American History X,85,Crime,1998,119,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",Director: Tony Kaye ," Stars: Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
Whiplash,85,Drama,2014,106,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Director: Damien Chazelle ," Stars: Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
Léon: The Professional,85,Action,1994,110,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Director: Luc Besson ," Stars: Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Rear Window,85,Mystery,1954,112,PG,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Director: Alfred Hitchcock ," Stars: James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter"
