title,imdb,Genre,year,duration,certificate,description,Director,Stars
Unforgiven,82,Drama,1992,130,R,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Director: Clint Eastwood ," Stars: Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
Chinatown,82,Drama,1974,130,R,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Director: Roman Polanski ," Stars: Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez"
Gone with the Wind,82,Drama,1939,238,Passed,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"Directors: Victor Fleming, George Cukor, Sam Wood "," Stars: Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
The Father,82,Drama,I 2020,97,PG-13,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Director: Florian Zeller ," Stars: Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams"
Downfall,82,Biography,2004,156,R,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Director: Oliver Hirschbiegel ," Stars: Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler"
Monty Python and the Holy Grail,82,Adventure,1975,91,PG,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Directors: Terry Gilliam, Terry Jones "," Stars: Graham Chapman, John Cleese, Eric Idle, Terry Gilliam"
Some Like It Hot,82,Comedy,1959,121,Passed,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Director: Billy Wilder ," Stars: Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft"
The Great Escape,82,Adventure,1963,172,Approved,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Director: John Sturges ," Stars: Steve McQueen, James Garner, Richard Attenborough, Charles Bronson"
The Secret in Their Eyes,82,Drama,2009,129,R,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Director: Juan José Campanella ," Stars: Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo"
The Elephant Man,82,Biography,1980,124,PG,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Director: David Lynch ," Stars: Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud"
Ran,82,Action,1985,162,R,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Director: Akira Kurosawa ," Stars: Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû"
Tumbbad,82,Drama,2018,104,Not Rated,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Directors: Rahi Anil Barve, Anand Gandhi, Adesh Prasad "," Stars: Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
For a Few Dollars More,82,Drama,1965,132,R,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Director: Sergio Leone ," Stars: Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp"
Dial M for Murder,82,Crime,1954,105,PG,A former tennis star arranges the murder of his adulterous wife.,Director: Alfred Hitchcock ," Stars: Ray Milland, Grace Kelly, Robert Cummings, John Williams"
Drishyam 2,82,Crime,2022,140,Not Rated,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Director: Abhishek Pathak ," Stars: Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
Gangs of Wasseypur,82,Action,2012,321,Not Rated,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Director: Anurag Kashyap ," Stars: Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
Rashomon,82,Crime,1950,88,Not Rated,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Director: Akira Kurosawa ," Stars: Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura"
All About Eve,82,Drama,1950,138,Passed,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Director: Joseph L. Mankiewicz ," Stars: Bette Davis, Anne Baxter, George Sanders, Celeste Holm"
Demon Slayer the Movie: Mugen Train,82,Animation,2020,117,R,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Director: Haruo Sotozaki ," Stars: Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono"
Klaus,82,Animation,2019,96,PG,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Directors: Sergio Pablos, Carlos Martínez López "," Stars: Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso"
Drishyam,82,Crime,2015,163,Not Rated,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Director: Nishikant Kamat ," Stars: Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
Swades,82,Drama,2004,189,Not Rated,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Director: Ashutosh Gowariker ," Stars: Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
Yojimbo,82,Action,1961,110,Not Rated,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Director: Akira Kurosawa ," Stars: Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa"
Miracle in Cell No. 7,82,Drama,2019,132,TV-14,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,Director: Mehmet Ada Öztekin ," Stars: Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal"
Andhadhun,82,Crime,2018,139,Not Rated,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Director: Sriram Raghavan ," Stars: Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
The Wages of Fear,82,Adventure,1953,131,Not Rated,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Director: Henri-Georges Clouzot ," Stars: Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli"
The Treasure of the Sierra Madre,82,Adventure,1947,126,Passed,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Director: John Huston ," Stars: Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett"
Children of Heaven,82,Drama,1997,89,PG,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Director: Majid Majidi ," Stars: Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
Pather Panchali,82,Drama,1955,125,Not Rated,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Director: Satyajit Ray ," Stars: Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi"
Vikram Vedha,82,Action,2017,147,Not Rated,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Directors: Gayatri, Pushkar, Gowtham Selvaraj "," Stars: Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
K.G.F: Chapter 1,82,Action,2018,156,Not Rated,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F.",Director: Prashanth Neel ," Stars: Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
Baahubali 2: The Conclusion,82,Action,2017,167,Not Rated,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",Director: S.S. Rajamouli ," Stars: Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
To Be or Not to Be,82,Comedy,1942,99,Passed,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Director: Ernst Lubitsch ," Stars: Carole Lombard, Jack Benny, Robert Stack, Felix Bressart"
The Kid,82,Comedy,1921,68,Passed,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Director: Charles Chaplin ," Stars: Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller"
Z,82,Crime,1969,127,M/PG,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Director: Costa-Gavras ," Stars: Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer"
Rangasthalam 1985,82,Action,2018,170,Not Rated,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,Director: Sukumar ," Stars: Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu"
Zindagi Na Milegi Dobara,82,Comedy,2011,155,Not Rated,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Director: Zoya Akhtar ," Stars: Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
Sherlock Jr.,82,Action,1924,45,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Director: Buster Keaton ," Stars: Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly"
My Father and My Son,82,Drama,2005,108,Not Rated,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Director: Çagan Irmak ," Stars: Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman"
Dersu Uzala,82,Adventure,1975,142,G,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Director: Akira Kurosawa ," Stars: Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov"
Uri: The Surgical Strike,82,Action,2019,138,Not Rated,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Director: Aditya Dhar ," Stars: Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
Umberto D.,82,Drama,1952,89,Not Rated,An elderly man and his dog struggle to survive on his government pension in Rome.,Director: Vittorio De Sica ," Stars: Carlo Battisti, Maria Pia Casilio, Lina Gennari, Ileana Simova"
Bhaag Milkha Bhaag,82,Biography,2013,186,Not Rated,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Director: Rakeysh Omprakash Mehra ," Stars: Farhan Akhtar, Deepak Singh Rawat, Japtej Singh, Divya Dutta"
Paan Singh Tomar,82,Action,2012,135,Not Rated,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Director: Tigmanshu Dhulia ," Stars: Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya"
The Exorcist,81,Horror,1973,122,R,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",Director: William Friedkin ," Stars: Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
Stand by Me,81,Adventure,1986,89,R,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Director: Rob Reiner ," Stars: Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell"
Jaws,81,Adventure,1975,124,PG,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Director: Steven Spielberg ," Stars: Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
The Deer Hunter,81,Drama,1978,183,R,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Director: Michael Cimino ," Stars: Robert De Niro, Christopher Walken, John Cazale, John Savage"
Mad Max: Fury Road,81,Action,2015,120,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",Director: George Miller ," Stars: Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
Gone Girl,81,Drama,2014,149,R,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Director: David Fincher ," Stars: Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Prisoners,81,Crime,2013,153,R,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Director: Denis Villeneuve ," Stars: Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
Pirates of the Caribbean: The Curse of the Black Pearl,81,Action,2003,143,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Director: Gore Verbinski ," Stars: Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"
Hacksaw Ridge,81,Biography,2016,139,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Director: Mel Gibson ," Stars: Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
The Help,81,Drama,2011,146,PG-13,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Director: Tate Taylor ," Stars: Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard"
Blade Runner,81,Action,1982,117,R,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Director: Ridley Scott ," Stars: Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
Ratatouille,81,Animation,2007,111,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Directors: Brad Bird, Jan Pinkava "," Stars: Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm"
Fargo,81,Crime,1996,98,R,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Directors: Joel Coen, Ethan Coen "," Stars: William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare"
The Grand Budapest Hotel,81,Adventure,2014,99,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Director: Wes Anderson ," Stars: Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody"
Ford v Ferrari,81,Action,2019,152,PG-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Director: James Mangold ," Stars: Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe"
The Big Lebowski,81,Comedy,1998,117,R,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Directors: Joel Coen, Ethan Coen "," Stars: Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"
The Handmaiden,81,Drama,2016,145,Not Rated,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Director: Park Chan-wook ," Stars: Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri"
Harry Potter and the Deathly Hallows: Part 2,81,Adventure,2011,130,PG-13,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Director: David Yates ," Stars: Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
The Terminator,81,Action,1984,107,R,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",Director: James Cameron ," Stars: Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Catch Me If You Can,81,Biography,2002,141,PG-13,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Director: Steven Spielberg ," Stars: Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
Dead Poets Society,81,Comedy,1989,128,PG,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Director: Peter Weir ," Stars: Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"
Logan,81,Action,2017,137,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Director: James Mangold ," Stars: Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
Into the Wild,81,Adventure,2007,148,R,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Director: Sean Penn ," Stars: Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
Trainspotting,81,Drama,1996,93,R,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Director: Danny Boyle ," Stars: Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd"
Inside Out,81,Animation,I 2015,95,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.","Directors: Pete Docter, Ronnie Del Carmen "," Stars: Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
Memories of Murder,81,Crime,2003,132,Not Rated,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Director: Bong Joon Ho ," Stars: Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
Room,81,Drama,I 2015,118,R,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Director: Lenny Abrahamson ," Stars: Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson"
Rush,81,Action,I 2013,123,R,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Director: Ron Howard ," Stars: Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
"Three Billboards Outside Ebbing, Missouri",81,Comedy,2017,115,R,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Director: Martin McDonagh ," Stars: Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
The Wizard of Oz,81,Adventure,1939,102,PG,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Directors: Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor "," Stars: Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr"
In the Mood for Love,81,Drama,2000,98,PG,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Director: Kar-Wai Wong ," Stars: Tony Leung Chiu-wai, Maggie Cheung, Siu Ping-Lam, Tung Cho 'Joe' Cheung"
Rocky,81,Drama,1976,120,PG,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Director: John G. Avildsen ," Stars: Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers"
Before Sunrise,81,Drama,1995,101,R,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Director: Richard Linklater ," Stars: Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl"
The Sound of Music,81,Biography,1965,172,G,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Director: Robert Wise ," Stars: Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"
Spotlight,81,Biography,I 2015,129,R,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Director: Tom McCarthy ," Stars: Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
"Lock, Stock and Two Smoking Barrels",81,Action,1998,107,R,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Director: Guy Ritchie ," Stars: Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham"
"Monsters, Inc.",81,Animation,2001,92,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Directors: Pete Docter, David Silverman, Lee Unkrich "," Stars: Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi"
Platoon,81,Drama,1986,120,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Director: Oliver Stone ," Stars: Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David"
12 Years a Slave,81,Biography,2013,134,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Director: Steve McQueen ," Stars: Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
Warrior,81,Action,2011,140,PG-13,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Director: Gavin O'Connor ," Stars: Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison"
How to Train Your Dragon,81,Animation,2010,98,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Directors: Dean DeBlois, Chris Sanders "," Stars: Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson"
Portrait of a Lady on Fire,81,Drama,2019,122,R,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Director: Céline Sciamma ," Stars: Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
"Paris, Texas",81,Drama,1984,145,R,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Director: Wim Wenders ," Stars: Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry"
Raging Bull,81,Biography,1980,129,R,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Director: Martin Scorsese ," Stars: Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent"
La haine,81,Crime,1995,98,Not Rated,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Director: Mathieu Kassovitz ," Stars: Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili"
Barry Lyndon,81,Adventure,1975,185,PG,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Director: Stanley Kubrick ," Stars: Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger"
Gran Torino,81,Drama,2008,116,R,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Director: Clint Eastwood ," Stars: Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her"
Amores Perros,81,Drama,2000,154,R,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Director: Alejandro G. Iñárritu ," Stars: Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
Million Dollar Baby,81,Drama,2004,132,PG-13,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Director: Clint Eastwood ," Stars: Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel"
The Iron Giant,81,Animation,1999,86,PG,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Director: Brad Bird ," Stars: Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel"
My Neighbor Totoro,81,Animation,1988,86,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Director: Hayao Miyazaki ," Stars: Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi"
Network,81,Drama,1976,121,R,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Director: Sidney Lumet ," Stars: Faye Dunaway, William Holden, Peter Finch, Robert Duvall"
Before Sunset,81,Drama,2004,80,R,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Director: Richard Linklater ," Stars: Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès"
Stalker,81,Drama,1979,162,Not Rated,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Director: Andrei Tarkovsky ," Stars: Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko"
Wild Tales,81,Comedy,2014,122,R,Six short stories that explore the extremities of human behavior involving people in distress.,Director: Damián Szifron ," Stars: Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta"
The Seventh Seal,81,Drama,1957,96,Not Rated,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Director: Ingmar Bergman ," Stars: Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe"
Hachi: A Dog's Tale,81,Biography,2009,93,G,A college professor bonds with an abandoned dog he takes into his home.,Director: Lasse Hallström ," Stars: Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
Cool Hand Luke,81,Crime,1967,127,GP,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Director: Stuart Rosenberg ," Stars: Paul Newman, George Kennedy, Strother Martin, J.D. Cannon"
Ben-Hur,81,Adventure,1959,212,G,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",Director: William Wyler ," Stars: Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet"
In the Name of the Father,81,Biography,1993,133,R,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Director: Jim Sheridan ," Stars: Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King"
A Silent Voice: The Movie,81,Animation,2016,130,Not Rated,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Director: Naoko Yamada ," Stars: Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono"
